day,mnth,year,season,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,rentals
1,1,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331
2,1,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131
3,1,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120
4,1,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108
5,1,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82
6,1,2011,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88
7,1,2011,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148
8,1,2011,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68
9,1,2011,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54
10,1,2011,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41
11,1,2011,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43
12,1,2011,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25
13,1,2011,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38
14,1,2011,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54
15,1,2011,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222
16,1,2011,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251
17,1,2011,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117
18,1,2011,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9
19,1,2011,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78
20,1,2011,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83
21,1,2011,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75
22,1,2011,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93
23,1,2011,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150
24,1,2011,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86
25,1,2011,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186
26,1,2011,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34
27,1,2011,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15
28,1,2011,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38
29,1,2011,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123
30,1,2011,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140
31,1,2011,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42
1,2,2011,1,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47
2,2,2011,1,0,3,1,2,0.26,0.254417,0.775417,0.264308,72
3,2,2011,1,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61
4,2,2011,1,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88
5,2,2011,1,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100
6,2,2011,1,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354
7,2,2011,1,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120
8,2,2011,1,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64
9,2,2011,1,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53
10,2,2011,1,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47
11,2,2011,1,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149
12,2,2011,1,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288
13,2,2011,1,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397
14,2,2011,1,0,1,1,1,0.415,0.39835,0.375833,0.417908,208
15,2,2011,1,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140
16,2,2011,1,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218
